日付,タイトル,金額,カテゴリ
2024-05-16,タクシー代,700,交通費
2024-05-17,コンビニ弁当,3400,食費
2024-05-18,冬物コート,8900,衣類
2024-05-19,ライブ参戦,4800,娯楽
2024-05-20,コンビニ弁当,3300,食費
2024-05-21,ネイルサロン,8700,美容
2024-05-21,バス代,300,交通費
2024-05-22,資格試験の申込,4200,自己投資
2024-05-23,靴購入,7100,衣類
2024-05-24,コーヒー豆,400,飲み物
2024-05-25,バス代,300,交通費
2024-05-29,スーパーで買い物,2300,食費
2024-05-31,定食屋,1500,食費
2024-06-01,美容院,5400,美容
2024-06-01,コンビニ弁当,2900,食費
2024-06-02,プログラミング書籍,7400,自己投資
2024-06-03,ゲーム購入,2700,娯楽
2024-06-03,脱毛サロン,3700,美容
2024-06-05,紅茶,600,飲み物
2024-06-08,カフェで勉強,500,カフェ
2024-06-09,遊園地,11200,娯楽
2024-06-09,友人と外食,3300,食費
2024-06-10,シャンプー購入,12600,美容
2024-06-10,急な出費,15500,その他
2024-06-11,自販機で飲み物,200,飲み物
2024-06-13,タクシー代,1100,交通費
2024-06-13,細々した買い物,11400,その他
2024-06-15,オンライン講座,7100,自己投資
2024-06-16,ファストフード,2000,食費
2024-06-18,ファストフード,2500,食費
2024-06-19,タピオカ,300,飲み物
2024-06-20,ファストフード,2800,食費
2024-06-25,ボウリング,6900,娯楽
2024-06-26,タピオカ,200,飲み物
2024-07-02,Tシャツ購入,6300,衣類
2024-07-04,タピオカ,600,飲み物
2024-07-04,ネイルサロン,10900,美容
2024-07-08,カフェで勉強,900,カフェ
2024-07-08,友人と外食,1000,食費
2024-07-10,コーヒー豆,300,飲み物
2024-07-13,雑費,19400,その他
2024-07-13,タピオカ,300,飲み物
2024-07-14,タピオカ,400,飲み物
2024-07-15,急な出費,7000,その他
2024-07-18,急な出費,10300,その他
2024-07-23,バス代,800,交通費
2024-07-24,技術書,6900,自己投資
2024-07-25,靴購入,3400,衣類
2024-07-25,ファストフード,1300,食費
2024-07-27,カフェで勉強,900,カフェ
2024-07-27,Tシャツ購入,10500,衣類
2024-07-28,タピオカ,300,飲み物
2024-07-28,スーパーで買い物,300,食費
2024-07-29,オンライン講座,4200,自己投資
2024-07-30,タピオカ,600,飲み物
2024-08-03,友人と外食,400,食費
2024-08-03,雑費,7300,その他
2024-08-03,靴下セット,6100,衣類
2024-08-04,スノボ,6800,娯楽
2024-08-04,プログラミング書籍,6300,自己投資
2024-08-05,自炊の材料費,1100,食費
2024-08-06,ファストフード,2400,食費
2024-08-06,外出先での娯楽費,10000,娯楽
2024-08-08,ゲーム購入,7000,娯楽
2024-08-11,美容院,12400,美容
2024-08-12,カフェで作業,1200,カフェ
2024-08-12,カットモデル,5500,美容
2024-08-13,スーパーで買い物,1400,食費
2024-08-14,カフェで作業,1000,カフェ
2024-08-14,急な出費,15700,その他
2024-08-15,雑費,3800,その他
2024-08-16,自販機で飲み物,300,飲み物
2024-08-17,タクシー代,600,交通費
2024-08-18,タピオカ,400,飲み物
2024-08-18,バス代,900,交通費
2024-08-20,自販機で飲み物,400,飲み物
2024-08-20,ネイルサロン,5400,美容
2024-08-20,スノボ,5300,娯楽
2024-08-20,脱毛サロン,4300,美容
2024-08-21,プレゼント購入,4500,その他
2024-08-22,カフェで勉強,400,カフェ
2024-08-23,自炊の材料費,500,食費
2024-08-23,コーヒー豆,400,飲み物
2024-08-27,細々した買い物,5900,その他
2024-08-27,スノボ,10800,娯楽
2024-08-27,カフェでランチ,700,カフェ
2024-08-28,コーヒー豆,200,飲み物
2024-08-30,シャンプー購入,6800,美容
2024-08-30,スーパーで買い物,800,食費
2024-08-30,プレゼント購入,17200,その他
2024-08-31,自販機で飲み物,300,飲み物
2024-08-31,自炊の材料費,1300,食費
2024-08-31,バス代,400,交通費
2024-09-02,紅茶,600,飲み物
2024-09-04,友人と外食,2000,食費
2024-09-04,急な出費,18100,その他
2024-09-05,ボウリング,2400,娯楽
2024-09-06,自販機で飲み物,400,飲み物
2024-09-07,電車代,800,交通費
2024-09-07,技術書,5600,自己投資
2024-09-10,プレゼント購入,13100,その他
2024-09-10,技術書,1700,自己投資
2024-09-12,遊園地,11200,娯楽
2024-09-13,資格試験の申込,3700,自己投資
2024-09-16,タクシー代,800,交通費
2024-09-17,プレゼント購入,5000,その他
2024-09-17,ゲーム購入,10800,娯楽
2024-09-20,紅茶,200,飲み物
2024-09-21,紅茶,200,飲み物
2024-09-22,バス代,500,交通費
2024-09-23,プレゼント購入,9600,その他
2024-09-26,自販機で飲み物,300,飲み物
2024-09-27,カフェで勉強,900,カフェ
2024-09-28,外出先での娯楽費,11900,娯楽
2024-09-28,ジャケット購入,5500,衣類
2024-09-30,プログラミング書籍,4200,自己投資
2024-10-03,自販機で飲み物,400,飲み物
2024-10-04,急な出費,16500,その他
2024-10-04,美容院,10300,美容
2024-10-04,スノボ,6400,娯楽
2024-10-05,ドラッグストア,14500,美容
2024-10-06,資格試験の申込,3900,自己投資
2024-10-07,友人と外食,2000,食費
2024-10-08,タピオカ,600,飲み物
2024-10-08,友人と外食,2000,食費
2024-10-09,友人と外食,1700,食費
2024-10-09,コンビニ,600,食費
2024-10-09,カフェで勉強,1300,カフェ
2024-10-11,ネイルサロン,12800,美容
2024-10-15,オンライン講座,2700,自己投資
2024-10-18,ライブ参戦,10700,娯楽
2024-10-21,美容院,4600,美容
2024-10-22,ファストフード,2600,食費
2024-10-22,雑費,13100,その他
2024-10-25,定期券更新,1000,交通費
2024-10-25,ボウリング,7900,娯楽
2024-10-25,自炊の材料費,1800,食費
2024-10-27,外出先での娯楽費,6700,娯楽
2024-10-28,脱毛サロン,1100,美容
2024-10-30,タピオカ,600,飲み物
2024-10-31,ゲーム購入,10500,娯楽
2024-11-01,友人とカラオケ,7900,娯楽
2024-11-01,コンビニ,2800,食費
2024-11-02,コンビニ,600,食費
2024-11-05,スノボ,6300,娯楽
2024-11-08,ドラッグストア,10100,美容
2024-11-13,セール品購入,8200,衣類
2024-11-15,定期券更新,800,交通費
2024-11-16,ゲーム購入,5300,娯楽
2024-11-18,雑費,19400,その他
2024-11-19,ボウリング,4800,娯楽
2024-11-21,友人と外食,1200,食費
2024-11-23,スノボ,5400,娯楽
2024-11-24,紅茶,500,飲み物
2024-11-24,技術書,7800,自己投資
2024-11-25,ドラッグストア,7300,美容
2024-11-25,コンビニ弁当,600,食費
2024-11-27,冬物コート,5900,衣類
2024-11-29,タクシー代,900,交通費
